timestamp,dialog_id,description,last_user_message,expected_phrases,bot_response
"2026-05-14T14:01:00.731Z","Solix BDR name capture flow","Solix BDR name capture flow","Step 5: Name acknowledgement","""data management solutions"" mention",""
"2026-05-14T15:01:17.617Z","Solix BDR name capture flow","Solix BDR name capture flow","Step 5: Name acknowledgement","""great to meet you"" phrase",""
"2026-05-14T15:03:03.215Z","Solix BDR name capture flow","Solix BDR name capture flow","Step 5: Name acknowledgement","""meet you"" phrase",""
"2026-05-18T10:35:17.979Z","SPsoft BDR services flow","SPsoft BDR services flow","Step 7: Services response","""specific project"" option",""
"2026-05-18T10:40:57.382Z","SPsoft BDR services flow","SPsoft BDR services flow","Step 7: Services response","""service pillars"" or ""specific project"" option",""
"2026-05-18T10:56:01.210Z","SPsoft BDR services flow","SPsoft BDR services flow","Step 7: Services response","""specific project"" / ""service pillars"" / ""current projects"" option",""
"2026-05-18T11:04:04.592Z","SPsoft BDR services flow","SPsoft BDR services flow","Step 7: Services response","""Healthcare Digital Solutions"" service",""
"2026-05-18T11:24:34.838Z","Nextlevel.ai BDR name-email capture flow","Nextlevel.ai BDR name-email capture flow","Step 9: Email confirmation","""is this correct"" confirmation question",""
"2026-05-18T11:26:26.069Z","Nextlevel.ai BDR name-email capture flow","Nextlevel.ai BDR name-email capture flow","Step 9: Email confirmation","""is this correct"" confirmation question",""
"2026-05-20T17:10:33.119Z","Merkel LTD Boardroom Q&A flow","Merkel LTD Boardroom Q&A flow","Step 3: Greeting","Boardroom mention","YOUR COMPANY
Who we are
Our Services
Our Prices
Blog
Career
Sample demo website
This is a sample demo website template to showcase our AI web-widget
YOUR COMPANY
Who we are
Our Services
Our prices
Blog
Career"
"2026-05-20T17:18:01.406Z","Merkel LTD Boardroom Q&A flow","Merkel LTD Boardroom Q&A flow","Step 3: Greeting","welcome message",""
"2026-05-20T17:22:33.816Z","Merkel LTD Boardroom Q&A flow","Merkel LTD Boardroom Q&A flow","Step 3: Greeting","Boardroom mention","
     
         
             
                 
                     
                     Your Company 
                 
                 
                     
                         Who we are 
                         Our Services 
                         Our Prices 
                         Blog 
                         Career 
                     
                 
                 
 "
"2026-05-20T17:43:33.750Z","Merkel LTD Boardroom Q&A flow","Merkel LTD Boardroom Q&A flow","Step 3: Greeting","Boardroom mention","YOUR COMPANY
Who we are
Our Services
Our Prices
Blog
Career
Sample demo website
This is a sample demo website template to showcase our AI web-widget
YOUR COMPANY
Who we are
Our Services
Our prices
Blog
Career"
"2026-05-21T06:40:40.908Z","Merkel LTD Boardroom Q&A flow","Merkel LTD Boardroom Q&A flow","Step 3: Greeting","amenity mention (pool/PS5/driving rig/cafe)","YOUR COMPANY
Who we are
Our Services
Our Prices
Blog
Career
Sample demo website
This is a sample demo website template to showcase our AI web-widget
YOUR COMPANY
Who we are
Our Services
Our prices
Blog
Career"
"2026-05-21T06:48:47.014Z","Merkel LTD Boardroom Q&A flow","Merkel LTD Boardroom Q&A flow","Step 5: Cafe response","cafe details or follow-up","YOUR COMPANY
Who we are
Our Services
Our Prices
Blog
Career
Sample demo website
This is a sample demo website template to showcase our AI web-widget
YOUR COMPANY
Who we are
Our Services
Our prices
Blog
Career"
